,4
0,拉麵店
11,中式麵食店
15,麵店
20,餐廳
23,烏冬專門店
26,熟食店
29,什錦麵館
30,台灣餐廳
34,中菜館
35,正宗日式料理餐廳
41,冷麵店
42,中餐館
43,日本餐廳
47,餃子店
55,素食餐廳
57,小餐館 (Bistro)
58,食堂與定食餐廳
60,小食/零食吧
62,純素餐廳
69,火鍋餐廳
76,小吃店
85,早午餐餐廳
94,涮涮鍋餐廳
124,四川酒家
144,早餐餐廳
160,咖啡廳
162,
167,茶藝館
172,海鮮餐廳
175,居酒屋
179,輕食餐廳
181,燒烤
182,歐陸餐廳
185,西班牙餐廳
189,快餐店
193,西餐廳
198,家庭餐廳
199,外賣自取餐廳
204,新加坡餐廳
211,日本地方料理餐廳
220,壽司店
226,日式炸豬扒餐廳
230,關東煮餐廳
235,咖啡店
237,多國菜餐廳
238,日本熟食店
241,古董店
246,客家菜館
254,美式牛扒屋
256,泰國餐廳
258,當地歷史博物館
272,傳統市場
279,甜品店
280,髮廊
287,意大利餐廳
288,越南餐廳
290,漢堡餐廳
295,美式餐廳
308,美式扒房
318,美式餐車店
325,外送速遞餐廳
348,洗衣店
351,炸物串與串炸餐廳
372,紋身店
375,便利店
377,攝影師
387,韓國餐廳
393,韓式燒烤餐廳
419,酒吧扒房
431,花店
440,美睫沙龍
443,食品供應商
448,美容院
450,婚禮服務
451,美容護膚診所
454,蔬果店
455,湘菜館
461,歷史建築
466,造型師
468,冰品飲料店
469,地鐵站
474,印度餐廳
493,愛心食堂
496,現代印度餐廳
511,巴基斯坦餐廳
521,緬甸餐廳
524,印度香飯餐廳
530,壽司外帶
531,日式燒肉餐廳
532,日式咖哩餐廳
534,亞洲菜餐廳
547,烤雞速食店
548,清真餐廳
550,粥餐廳
565,薄餅外賣自取
568,東南亞餐廳
569,麵包西餅店
571,印度雜貨店
572,印尼餐廳
575,越式河粉餐廳
641,擔擔麵專門店
659,港式快餐店
661,酒樓
665,食品製造供應
667,粵菜館
669,港式茶餐廳
692,自助餐廳
693,葷食餐廳
697,冷凍食品製造商
705,無酒精飲料店
711,西餅店
713,飯盒供應商
734,泰式按摩治療師
762,按摩治療師
792,雞肉餐廳
808,公寓社區
812,旅遊景點
816,馬來西亞餐廳
817,亞洲雜貨店
823,加州餐廳
864,高級食材店
867,自助餐餐廳
868,雜貨店
883,健康食品餐廳
892,婚禮場地
893,酒吧
906,現代居酒屋
919,鐵板燒餐廳
930,地中海餐廳
931,雞尾酒酒吧
933,薄餅餐廳
950,啤酒館
958,歐洲餐廳
972,咖啡烘焙商
1005,珍珠奶茶店
1012,公車站
1023,平價超級市場
1024,甜品餐廳
1027,大型超級市場
1028,書店
1029,批發店 (會員制)
1094,滬菜館
1100,家常菜餐廳
1141,三文治店
1175,法式糕餅店
1177,烘焙用具店
1185,糕餅店
1191,法國餐廳
1197,公司辦公室
1200,燒烤用品店
1201,德國餐廳
1202,寵物用品店
1221,燒烤餐廳
1257,海鮮丼餐廳
1260,法式餐廳
1281,水療美容中心
1354,蕎麥麵店
1362,牛丼餐廳
1380,洗車服務
1387,雞肉店
1392,運輸服務
1399,迴轉壽司餐廳
1420,廚房家具店
1424,日式烤雞串餐廳
1428,慈善團體
1434,理髮師
1436,高爾夫球課程
1451,指甲腳甲修飾專門店
1462,到會服務
1466,攝影服務
1471,法式牛扒餐廳
1473,婚禮糕餅店
1500,麵包批發商
1504,意大利麵食店
1507,現代法國餐廳
1526,雪糕店
1528,公司註冊處
1553,傳統美式餐廳
1569,薄餅速遞
1574,浙菜/浙江菜館
1592,中式包點店
1634,串燒烤肉店
1641,法式薄餅餐廳
1655,農家菜館
1690,人像攝影工作室
1699,相片沖印店
1705,亞洲  Fusion 菜餐廳
1711,希臘餐廳
1720,現代歐洲餐廳
1725,土耳其餐廳
1752,高級法國餐廳
1755,沙威瑪餐廳
1765,魚料理餐廳
1774,拉丁美洲餐廳
1777,阿根廷餐廳
1781,懷石料理餐廳
1931,健康食品專賣店
1953,有機農場
1962,狗兒咖啡館
1963,藝術博物館
1967,巴士站
1999,中式茶館
2015,班戟店
2017,農場
2102,肉販
2107,融合菜式餐廳
2124,壽喜燒和日式火鍋餐廳
2198,公園
2214,行山徑
2229,城市公園
2233,潛艇漢堡餐廳
2248,大眾運輸站
2253,室外游泳池
2271,露天澡堂
2274,現代美式餐廳
2276,畫廊
2283,禮品店
2284,藥房
2286,景點
2296,歷史地標
2300,電腦專門店
2305,長老教會教堂
2309,佛寺
2314,文化地標
2316,進口商
2318,紀念碑
2319,網吧
2321,夜市
2325,酒品店
2326,購物中心
2327,歷史景點
2329,天主教教堂
2337,協會或機構
2338,澳洲餐廳
2339,遊樂場
2342,戲院
2343,特賣商場
2344,曲奇餅店
2347,生態園區
2350,家居用品店
2360,設攤服務
2411,葡萄酒吧
2416,海濱長廊
2417,溫泉酒店
2422,美食廣場
2431,英式餐廳
2437,廚藝學校
2464,有機商店
2465,大牧場
2472,農莊住宿
2475,國家公園
2497,冬甩店
2502,露天廣場
2506,公寓大廈
2534,珠寶批發商
2538,菲律賓餐廳
2551,耳鼻喉科診所
2610,超級市場
2613,飲料
2617,公共圖書館
2633,電子商務服務
2638,京菜/北京菜館
2652,寺廟
2659,道觀
2673,公共浴室
2696,室內停車場
2700,紀念品商店
2710,花園
2754,鰻魚料理餐廳
2772,連排房屋社區
2777,商店
2778,住宅協會
2779,房屋委員會
2781,房地產代理
2785,地產公司
2792,社區中心
2849,英國餐廳
2851,停車場
2996,住宅樓宇
3007,社會福利中心
3009,建材商店
3033,糖果糕餅店
3040,社會服務機構
3064,中式糕餅店
3067,日式糖果店
3086,天然食品店
3134,工程設計服務
3150,共同工作空間
3153,室內裝飾師
3158,批發商
3159,起亞經銷商
3161,汽車租賃服務
3165,有線電視公司
3166,文具店
3167,日本雜貨店
3180,足球俱樂部
3183,實驗室
3192,公司
3197,食品製造商
3200,女士服裝店
3205,汽車零件店
3213,汽車維修店
3214,海鮮批發商
3216,室內設計服務
3217,婚紗店
3219,倉庫設施
3223,醫院
3256,生物科技公司
3258,汽車美容服務
3267,鄉鎮市區公所
3269,護理服務代理
3273,地產
3274,供水公司
3275,加勒比海餐廳
3296,韓國雜貨店
3297,手機配件專賣店
3330,靈煤
3339,低入息人士房屋計劃
3348,室內裝修承包商
3351,日式西餐廳
3352,有機餐廳
3359,手工藝品
3360,單車借用站
3361,中菜外賣
3366,食品商店
3368,水廠
3389,和菓子餐廳
3425,中醫診所
3437,男士理髮店
3458,電器行
3460,健身俱樂部
3464,冷氣維修服務
3466,工會
3469,房地產開發商
3471,家庭醫生
3472,學校
3473,幼稚園
3478,托兒所
3481,郵政局
3483,保健
3484,小學
3487,殯葬服務
3489,居民協會
3491,藝術表演團體
3492,兒科
3509,高級餐廳
3557,柬埔寨餐廳
3590,現場音樂酒吧
3653,住宅發展
3662,補鞋店
3689,服裝店
3781,食品調味料製造商
3783,化妝品店
3784,電器零售
3786,酒類零售專賣
3787,嬰兒用品店
3798,搬屋公司
3800,酒品專賣店
3807,門諾教會
3808,護老院
3810,歸正教會教堂
3811,神學院
3814,民宿
3816,商業房地產督察
3817,私人屋苑
3819,社區學院
3834,美式墨西哥菜餐廳
3875,咖啡機供應商
3895,公立大學
3897,顧問
3946,寢具用品店
3976,蒸餾咖啡吧
4053,咖啡批發商
4056,藥材舖
4061,視像會議設備供應商
4064,眼鏡店
4065,教育機構
4067,動物醫院
4070,醫療診所
4072,油站
4079,電單車經銷商
4099,二手書店
4104,比利時餐廳
4123,糖果店
4126,朱古力店
4129,多功能室設施
4135,珠寶設計師
4137,瓷磚店
4184,茶葉店
4225,整體
4245,舞台燈光設備供應商
4246,建築材料供應商
4248,汽車修復服務
4260,自動櫃員機地點
4280,中菜
4288,K 書中心
4378,電單車店
4379,網球俱樂部
4381,火葬服務
4434,乾花店
4463,人力資源顧問公司
4466,燈飾店
4468,服務式公寓
4474,大學
4491,小型電單車維修店
4492,汽車包膜服務
4514,牙科診所
4544,五金用品店
4545,會計師樓
4552,宗教用品店
4553,水匠
4555,鐘錶修理服務
4556,單車店
4558,辦公室家具店
4567,傢俬店
4568,鐘錶店
4573,商戶對商戶服務
4580,韓式牛肉料理餐廳
4584,美容護膚中心
4607,日式串燒餐廳
4643,戶外運動用品店
4644,月租停車場
4671,包裝用品店
4675,嬰兒服裝店
4683,設有保安閘的社區
4735,日式牛扒餐廳
4807,私立學校
4828,衛浴用品店
4832,百貨公司
4833,體育用品店
4841,精品店
4844,皮膚科醫生
4850,補習班
4854,酒店
4879,食品和飲品
4892,墨西哥餐廳
4900,水療及健身俱樂部
4981,卡拉 OK 酒吧
4997,皮革用品店
4999,輪胎店
5000,機械製造商
5008,潛水用品店
5009,住宿
5010,寶馬經銷商
5013,精神保健服務
5020,健身室
5021,帳篷供應商
5033,私立大學
5052,網絡行銷服務
5057,香薰療法服務
5070,有機食品店
5072,普拉提中心
5164,禮盒專賣店
5249,俱樂部
5295,古蹟博物館
5298,帽子店
5376,製造商
5521,綜合運動中心
5525,地方政府機構
5526,汽車維修及保養
5529,平治經銷商
5530,捐血中心
5532,電子產品製造商
5540,商業房地產經紀
5543,課後補習班
5548,復康中心
5553,地方政府辦事處
5566,政府辦事處
5567,攀石場
5582,中東餐廳
5604,晚餐劇場
5615,手機專門店
5623,Vegetarian cafe and deli
5656,餡餅店
5684,藝術中心
5685,高中
5692,觀景台
5693,煎餅料理餐廳
5758,藝術學校
5759,音樂學校
5764,測量儀器供應商
5897,遊客中心
5920,傢俱製造商
5926,天氣預報服務
5927,豐田經銷商
5928,福特經銷商
5929,榮民醫院
5971,壽喜燒餐廳
5978,富士經銷商
6024,宴會廳
6093,摩洛哥餐廳
6100,義大利薩丁尼亞風味餐廳
6109,保加利亞餐廳
6123,烹飪學校
6133,市場
6155,豆腐餐廳
6194,室內遊樂場
6391,宗教組織
6441,酒廠酒吧
6444,西班牙小食酒吧
6453,運動酒吧
6564,電訊服務商
6567,腳底按摩店
6592,飲品分銷商
6624,租車服務
6629,美容儀器用品店
6653,汽車用品店
6656,鞋品店
6657,樂器店
6691,批發店
6694,折扣商店
6755,國際貿易顧問
6756,娛樂中心
6780,基金會
6781,水電承辦商
6782,同業公會
6786,專業服務
6787,床褥店
6793,設計公司
6795,電力公司
6797,汽車經銷商
6798,窗簾專賣店
6914,炸魚薯條餐廳
6935,湯品餐廳
6965,博物館
6977,消防局
7010,警察局
7065,觀光農場
7075,保健與美容用品店
7077,麵包圈店
7086,玩具店
7088,藏式餐廳
7089,冷氣承包商
7093,中學
7141,韓國血腸餐廳
7169,共用商業廚房
7233,御好燒餐廳
7286,運動用品店
7330,吐司餐廳
7440,商店設備供應商
7447,燈具製造商
7459,湯羹餐廳
7463,西班牙小食餐廳
7466,銀行
7485,鎖匠
7529,遊艇碼頭
7533,商店與購物
7538,寵物店
7573,米店
7577,二手車經銷商
7584,區域政府辦事處
7587,長者中心
7596,家具厂
7600,電單車維修店
7601,消防器材
7609,整骨院
7630,公寓租借代理
7647,彩票零售商
7721,助聽器店
7722,餐廳或咖啡店
7729,活動策劃公司
7730,時裝及配飾店
7762,聽力專家
7763,會議中心
7769,葡萄酒批發商及進口商
7775,善終療養院
7778,醫療用品店
7786,室內游泳池
7787,單車維修店
7792,殯儀館
7794,孕婦護理中心
7798,內科病房
7813,果汁店
7907,中藥店
7957,農業協會
7971,日間護理中心
7996,出版社
8037,魚販
8105,園藝店
8147,教堂
8186,現場音樂表演場地
8276,服務型住宿
8316,籃球場
8416,芝士專賣店
8449,行李店
8453,結婚攝影師
8461,市政府辦公室
8495,廚房改建公司
8524,互聯網服務供應商
8526,中央政府部門
8543,泛亞菜餐廳
8575,捷克餐廳
8577,新派拉丁餐廳
8645,北意大利餐廳
8691,生蠔吧餐廳
8701,建築廢物回收店
8757,文字燒餐廳
8799,學生輔導協會
8944,駕訓班
8950,攝影工作室
8972,藝術團體
9008,駕駛學校
9009,修繕公司
9020,護士學校
9032,花市
9087,福士經銷商
9088,三菱經銷商
9157,企業園區
9162,奧迪經銷商
9163,本田經銷商
9184,暖通空調承辦商
9211,電動汽車充電站
9231,窗戶安裝服務
9232,家電零件供應商
9244,健康中心
9263,釀酒廠
9293,教育中心
9346,神社
9365,基督教豐盛生命教會
9395,釣魚池
9407,外帶咖啡專賣店
9428,水煙店
9532,物理治療師
9559,算命服務
9576,建築公司
9639,音樂製作
9655,大專院校
9656,科技大學
9659,大學圖書館
9660,大學學系
9665,演藝劇場
5,文化中心
160,鮮食市場
188,電子零件供應商
198,金融機構
216,絕版書店
217,遊戲機中心
256,別墅
288,綠色能源供應商
292,瑜伽練習室
304,影片製作服務
305,Skoda 經銷商
322,飲水機
351,海鮮市場
393,私人教練
396,模型店
415,堅果店
470,手機維修店
488,辦公室設備租借服務
491,桌球室
501,跆拳道學校
507,兒童家具店
510,汽車經紀
513,冰廠
520,小型家電維修服務
522,夜總會
567,酒吧雅座
578,表演場地
608,舞蹈學院
623,簿記服務
640,國際學校
652,印尼飯食餐廳
656,綜合醫院
661,房地產租借代理
666,軍醫院
692,田徑場
735,蒙古烤肉餐廳
751,Flower designer
777,飛鏢酒吧
779,軟件公司
817,矯形鞋店
1067,青年旅舍
1094,樹木園
1121,賓館
1138,居家服務
1143,職業學校
1151,俄國餐廳
1217,魔術用品店
1240,酒吧餐廳傢俱店
1243,果乾店
1248,床上用品店
1391,電腦維修服務
1396,園藝
1416,主題公園
1418,焚化廠
1655,咖啡販賣機
1702,南意大利餐廳
1722,餐廳用品店
1833,漫畫咖啡館
1954,寵物美容師
1959,防治蟲害服務
2076,麵粉廠
2081,物流服務
2085,富豪經銷商
2087,鈴木經銷商
2106,粉末噴塗服務
2123,二手家具店
2134,家電客戶服務
2143,汽車拍賣中心
2146,現代汽車經銷商
2193,二手店
2198,熱帶魚店
2204,污水處理廠
2205,主題公園/遊樂場
2212,展覽場地
2215,交通接送服務
2239,樹藝服務
2300,魚和海鮮餐廳
2301,蠶絲製品店
2339,汽車租賃代理
2361,托兒機構
2363,廚櫃店
2408,內衣專賣店
2410,玻璃器皿店
2424,壓克力店
2425,雜貨配送服務
2443,醫院部門
2451,私家醫院
2565,瓦斯安裝業者
2624,天婦羅餐廳
2626,天婦羅丼餐廳
2636,游泳學校
2740,熱狗店
2765,珠寶店
2777,療養院
2778,蒙特梭利學校
2783,汽車電池店
2784,房屋建造商
2811,藝術家
2836,大都會鐵路公司
2867,火車站
2956,長壽飲食餐廳
3030,醫生
3070,美容師
3131,紙張經銷商
3169,水果批發商
3208,食品
3306,家庭裝修 DIY 百貨賣場
3312,托育中心
3333,清真寺
3448,羊肉燒烤餐廳
3528,整容醫生
3563,國家圖書館
3600,停靠站
3604,大學附設醫院
3605,國家森林
3606,宗教聖地
3612,伴唱帶 KTV
