,店名,評論數,星級,標籤,價位,地址,電話,營業時間,網站
0,魚の棧(魚之棧),256,4.2,餐廳,, 103台北市大同區大龍街247號, 02 2598 2156,星期六、11:00 到 14:00、17:00 到 22:00; 星期日、11:00 到 14:00、17:00 到 22:00; 星期一、休息; 星期二、17:00 到 22:00; 星期三、11:00 到 14:00、17:00 到 22:00; 星期四、11:00 到 14:00、17:00 到 22:00; 星期五、11:00 到 14:00、17:00 到 22:00. 隱藏本週營業時間,https://www.facebook.com/669rgaqj
1,蕃茄妹小吃店,335,4.1,餐廳,$, 10369台北市大同區大龍街290號, 02 2591 8530,星期六、10:30 到 14:00、17:00 到 20:00; 星期日、休息; 星期一、10:30 到 14:00、17:00 到 20:00; 星期二、10:30 到 14:00、17:00 到 20:00; 星期三、10:30 到 14:00、17:00 到 20:00; 星期四、10:30 到 14:00、17:00 到 20:00; 星期五、10:30 到 14:00、17:00 到 20:00. 隱藏本週營業時間,https://www.facebook.com/tomatomeme25918530/
2,阿仁炒飯,"1,613",4.3,餐廳,$, 10368台北市大同區哈密街45巷2之4號, 02 2598 6747,星期六、11:00 到 14:15、17:00 到 20:30; 星期日、休息; 星期一、休息; 星期二、11:00 到 14:15、17:00 到 20:30; 星期三、11:00 到 14:15、17:00 到 20:30; 星期四、11:00 到 14:15、17:00 到 20:30; 星期五、11:00 到 14:15、17:00 到 20:30. 隱藏本週營業時間,https://www.facebook.com/%E9%98%BF%E4%BB%81%E7%82%92%E9%A3%AF-291250394402760/
3,•壹柒食堂•,73,5.0,餐廳,, 10362台北市大同區大龍街70號,,星期六、休息; 星期日、休息; 星期一、10:00 到 14:00; 星期二、10:00 到 14:00; 星期三、10:00 到 14:00; 星期四、10:00 到 14:00; 星期五、10:00 到 14:00. 隱藏本週營業時間,https://www.facebook.com/17ingood
4,巴八八小吃店,,4.5 星級  40 則評論,餐廳,, 103大同區大龍街278號, 02 2594 6785,,
5,鐵板城現炒（大龍店）,104,3.3,鐵板燒餐廳,$, 103台北市大同區大龍街278號, 02 2595 2302,星期六、10:00 到 20:00; 星期日、10:00 到 20:00; 星期一、10:00 到 20:00; 星期二、10:00 到 20:00; 星期三、10:00 到 20:00; 星期四、10:00 到 20:00; 星期五、10:00 到 20:00. 隱藏本週營業時間,https://www.facebook.com/tiebancheng/
6,李記雞窩/大同美食/大同雞肉/大同便當/大同小吃/大同餐廳/大同放山雞,65,4.5,雞肉店,, 103台北市大同區大龍街35號, 0952 222 891,星期六、10:30 到 14:00、16:30 到 19:00; 星期日、10:30 到 13:30; 星期一、休息; 星期二、10:30 到 14:00、16:30 到 19:00; 星期三、10:30 到 14:00、16:30 到 19:00; 星期四、10:30 到 14:00、16:30 到 19:00; 星期五、10:30 到 14:00、16:30 到 19:00. 隱藏本週營業時間,https://chickenchickenlee.com/
7,大牛牛排館,486,4.0,西餐廳,$, 103台北市大同區大龍街266號, 0922 769 668,星期六、11:40 到 22:00; 星期日、11:40 到 22:00; 星期一、休息; 星期二、11:40 到 15:00、17:00 到 22:00; 星期三、11:40 到 15:00、17:00 到 22:00; 星期四、11:40 到 15:00、17:00 到 22:00; 星期五、11:40 到 15:00、17:00 到 22:00. 隱藏本週營業時間,https://www.facebook.com/pages/%E5%A4%A7%E9%BE%8D%E8%A1%97%E5%A4%A7%E7%89%9B%E7%89%9B%E6%8E%92/347307378632635?fref=ts
8,大龍街香菇肉粥,164,3.8,粥餐廳,$, 103台北市大同區重慶北路三段307號,,星期六、06:00 到 13:30; 星期日、06:00 到 13:30; 星期一、休息; 星期二、06:00 到 13:30; 星期三、06:00 到 13:30; 星期四、06:00 到 13:30; 星期五、06:00 到 13:30. 隱藏本週營業時間,https://www.facebook.com/dalongcongee/
9,大龍廣東粥,13,4.9,早午餐餐廳,, 103台北市大同區大龍街110號, 02 2599 2885,星期六、10:00 到 20:00; 星期日、休息; 星期一、10:00 到 20:00; 星期二、10:00 到 20:00; 星期三、10:00 到 20:00; 星期四、10:00 到 20:00; 星期五、10:00 到 20:00. 隱藏本週營業時間,
10,大雄香雞翅,40,4.5,快餐店,, 103台北市大同區大龍街268號, 0928 380 726,星期六、14:00 到 22:00; 星期日、14:00 到 22:00; 星期一、14:00 到 22:00; 星期二、14:00 到 22:00; 星期三、14:00 到 22:00; 星期四、14:00 到 22:00; 星期五、14:00 到 22:00. 隱藏本週營業時間,https://www.facebook.com/aeh158
11,大龍峒肉羹-米粉湯,"1,111",4.0,台灣餐廳,$, 103台北市大同區重慶北路三段297號, 02 2596 7090,星期六、06:00 到 14:30; 星期日、06:00 到 14:30; 星期一、休息; 星期二、06:00 到 14:30; 星期三、06:00 到 14:30; 星期四、06:00 到 14:30; 星期五、06:00 到 14:30. 隱藏本週營業時間,
12,老地方牛肉麵食館,"1,107",4.4,中式麵食店,$, 103台北市大同區大龍街91巷33號, 02 2593 0903,星期六、11:30 到 20:30; 星期日、休息; 星期一、11:30 到 20:30; 星期二、11:30 到 20:30; 星期三、11:30 到 20:30; 星期四、11:30 到 20:30; 星期五、11:30 到 20:30. 隱藏本週營業時間,
13,炸G行家-大龍峒店（炸雞行家.美式炸雞.平價美食）,43,4.3,雞翼餐廳,, 103台北市大同區重慶北路三段335巷56號, 0906 133 035,星期六、10:30 到 20:00; 星期日、10:30 到 19:30; 星期一、10:30 到 19:30; 星期二、10:30 到 19:30; 星期三、10:30 到 19:30; 星期四、10:30 到 19:30; 星期五、10:30 到 19:30. 隱藏本週營業時間,https://fried1025.business.site/?utm_source=gmb&utm_medium=referral
14,三大牛肉麵,338,4.0,中式麵食店,, 103台北市大同區大龍街5號, 02 2599 1379,星期六、休息; 星期日、休息; 星期一、11:15 到 19:30; 星期二、11:15 到 19:30; 星期三、11:15 到 19:30; 星期四、11:15 到 19:30; 星期五、11:15 到 19:30. 隱藏本週營業時間,https://iozibo1313.pixnet.net/blog/post/334212510-%5B%E7%99%BE%E9%96%93%E7%89%9B%E8%82%89%E9%BA%B5%E6%94%BB%E7%95%A5%5D%2816%29%E5%8F%B0%E5%8C%97%E5%A4%A7%E9%BE%8D%E8%A1%97%E4%B8%89%E5%A4%A7%E7%89%9B%E8%82%89%E9%BA%B5-
15,開燈找餐,547,3.8,早午餐餐廳,$, 103台北市大同區大龍街19號, 02 2595 5502,星期六、06:00 到 15:00; 星期日、06:00 到 15:00; 星期一、06:00 到 15:00; 星期二、06:00 到 15:00; 星期三、06:00 到 15:00; 星期四、06:00 到 15:00; 星期五、06:00 到 15:00. 隱藏本週營業時間,https://shop.ichefpos.com/store/pts3oyA_
16,大高雄燒肉飯,26,3.8,燒烤餐廳,, 103台北市大同區大龍街267號, 0988 811 887,星期六、16:00 到 22:30; 星期日、16:00 到 22:30; 星期一、16:00 到 22:30; 星期二、16:00 到 22:30; 星期三、16:00 到 22:30; 星期四、16:00 到 22:30; 星期五、16:00 到 22:30. 隱藏本週營業時間,
17,蕼蒔荳留,121,4.9,餐廳,, 103台北市大同區大龍街85巷8號, 02 2595 9218,,https://www.facebook.com/4040cafe
18,大龍沙威瑪,15,4.1,外送速遞餐廳,, 103台北市大同區大龍街251號, 0916 140 088,星期六、16:30 到 21:30; 星期日、16:30 到 21:30; 星期一、16:30 到 21:30; 星期二、16:30 到 21:30; 星期三、16:30 到 21:30; 星期四、16:30 到 21:30; 星期五、16:30 到 21:30. 隱藏本週營業時間,https://www.facebook.com/%E5%A4%A7%E9%BE%8D%E6%B2%99%E5%A8%81%E7%91%AA-106367507397623/
19,第一土鵝肉,395,4.0,熟食店,, 103台北市大同區酒泉街54之1號, 02 2593 2844,星期六、15:00 到 21:00; 星期日、15:00 到 21:00; 星期一、15:00 到 21:00; 星期二、15:00 到 21:00; 星期三、15:00 到 21:00; 星期四、15:00 到 21:00; 星期五、15:00 到 21:00. 隱藏本週營業時間,https://www.facebook.com/pages/%E7%AC%AC%E4%B8%80%E5%9C%9F%E9%B5%9D%E8%82%89/187627561262282?rf=1416588801954079
20,小林麵食店,493,4.0,麵店,$$, 103台北市大同區大龍街91巷17-2號, 02 2596 0159,星期六、11:00 到 14:00、17:00 到 20:00; 星期日、休息; 星期一、11:00 到 14:00、17:00 到 20:00; 星期二、11:00 到 14:00、17:00 到 20:00; 星期三、11:00 到 14:00、17:00 到 20:00; 星期四、11:00 到 14:00、17:00 到 20:00; 星期五、11:00 到 14:00、17:00 到 20:00. 隱藏本週營業時間,https://www.facebook.com/pages/%E5%B0%8F%E6%9E%97%E9%BA%B5%E9%A3%9F%E5%BA%97/167892359929090
21,湯竺麵食館,20,4.4,中餐館,, 103台北市大同區大龍街188號, 02 2591 1938,,
22,大龍城自助餐,208,3.8,自助餐餐廳,, 103台北市大同區大龍街251號, 02 2595 9921,星期六、10:00 到 14:00、16:00 到 20:00; 星期日、10:00 到 14:00、16:00 到 20:00; 星期一、11:00 到 14:00、16:00 到 20:00; 星期二、11:00 到 14:00、16:00 到 20:00; 星期三、11:00 到 14:00、16:00 到 20:00; 星期四、11:00 到 14:00、16:00 到 20:00; 星期五、11:00 到 14:00、16:00 到 20:00. 隱藏本週營業時間,
23,台南東山鴨頭,41,3.6,台灣餐廳,, 103台北市大同區大龍街308號,,星期六、16:00 到 23:00; 星期日、16:00 到 23:00; 星期一、休息; 星期二、16:00 到 23:00; 星期三、16:00 到 23:00; 星期四、16:00 到 23:00; 星期五、16:00 到 23:00. 隱藏本週營業時間,
24,大肥羴燒烤羊肉轉型（古早味麵店）,123,3.8,中菜館,$, 103台北市大同區大龍街242號, 02 2557 8548,星期六、10:30 到 20:00; 星期日、10:30 到 20:00; 星期一、休息; 星期二、10:30 到 20:00; 星期三、10:30 到 20:00; 星期四、10:30 到 20:00; 星期五、10:30 到 20:00. 隱藏本週營業時間,https://www.facebook.com/%E5%A4%A7%E8%82%A5%E7%BE%B4%E7%BE%8A%E8%82%89%E7%88%90-309836295699498/
25,簡家大龍峒肉圓,610,4.0,熟食店,$, 103台北市大同區大龍街188號, 02 2591 1938,星期六、17:00 到 23:00; 星期日、休息; 星期一、17:00 到 23:00; 星期二、17:00 到 23:00; 星期三、17:00 到 23:00; 星期四、17:00 到 23:00; 星期五、17:00 到 23:00. 隱藏本週營業時間,https://www.facebook.com/pages/%E7%B0%A1%E5%AE%B6%E5%A4%A7%E9%BE%8D%E5%B3%92%E8%82%89%E5%9C%93/129878450410898
26,大眾海鮮粥,63,4.4,熟食店,, 103台北市大同區大龍街298-300號號,,星期六、18:00 到 21:30; 星期日、18:00 到 21:30; 星期一、18:00 到 21:30; 星期二、18:00 到 21:30; 星期三、18:00 到 21:30; 星期四、休息; 星期五、18:00 到 21:30. 隱藏本週營業時間,
27,雙連 文記花枝焿,308,3.5,湯品餐廳,$, 103台北市大同區大龍街274號, 02 2595 2361,星期六、10:30 到 21:30; 星期日、10:30 到 21:30; 星期一、10:30 到 21:30; 星期二、10:30 到 21:30; 星期三、10:30 到 21:30; 星期四、10:30 到 21:30; 星期五、10:30 到 21:30. 隱藏本週營業時間,
28,老蔡水煎包 大龍創始店,139,3.5,中式包點店,$, 103台北市大同區大龍街310號, 02 2599 5280,星期六、06:00 到 23:00; 星期日、06:00 到 23:00; 星期一、06:00 到 23:00; 星期二、06:00 到 23:00; 星期三、06:00 到 23:00; 星期四、06:00 到 23:00; 星期五、06:00 到 23:00. 隱藏本週營業時間,
29,吉祥素食,99,4.5,素食餐廳,$, 103台北市大同區大龍街222號, 02 2585 8232,星期六、休息; 星期日、休息; 星期一、11:30 到 13:30、17:30 到 19:00; 星期二、11:30 到 13:30、17:30 到 19:00; 星期三、11:30 到 13:30、17:30 到 19:00; 星期四、11:30 到 13:30、17:30 到 19:00; 星期五、11:30 到 13:30、17:30 到 19:00. 隱藏本週營業時間,
30,重慶豆漿炸蛋餅,"1,298",4.1,早餐餐廳,$, 103台北市大同區重慶北路三段335巷32號, 02 2585 1096,星期六、05:30 到 13:00; 星期日、05:30 到 13:00; 星期一、05:30 到 11:30; 星期二、05:30 到 11:30; 星期三、休息; 星期四、05:30 到 11:30; 星期五、05:30 到 11:30. 隱藏本週營業時間,
31,272早午餐,70,4.0,早餐餐廳,$, 103台北市大同區大龍街272號, 02 2595 3201,星期六、05:00 到 13:00; 星期日、休息; 星期一、05:00 到 13:00; 星期二、05:00 到 13:00; 星期三、05:00 到 13:00; 星期四、05:00 到 13:00; 星期五、05:00 到 13:00. 隱藏本週營業時間,
32,吉利 牛肉麵.水餃,410,3.7,中式麵食店,$, 103台北市大同區大龍街282號, 02 2592 1289,星期六、11:00 到 22:00; 星期日、11:00 到 22:00; 星期一、11:00 到 22:00; 星期二、11:00 到 22:00; 星期三、11:00 到 22:00; 星期四、11:00 到 22:00; 星期五、11:00 到 22:00. 隱藏本週營業時間,
33,大龍峒魚丸,,4.4,中餐館,, 103台北市大同區重慶北路三段294號, 02 598 2109,星期六、休息; 星期日、休息; 星期一、07:30 到 14:00; 星期二、07:30 到 14:00; 星期三、07:30 到 14:00; 星期四、07:30 到 14:00; 星期五、07:30 到 14:00. 隱藏本週營業時間,
34,叁道街手工蚵仔麵線,82,4.5,餐廳,, 103台北市大同區大龍街102號, 0933 809 269,星期六、10:00 到 19:00; 星期日、10:00 到 19:00; 星期一、10:00 到 19:00; 星期二、10:00 到 19:00; 星期三、10:00 到 19:00; 星期四、10:00 到 19:00; 星期五、10:00 到 19:00. 隱藏本週營業時間,https://restaurant-105675.business.site/?utm_source=gmb&utm_medium=referral
35,三媽臭臭鍋,290,3.4,涮涮鍋餐廳,$, 103台北市大同區大龍街253號, 02 2595 5362,星期六、11:00 到 23:30; 星期日、11:00 到 23:30; 星期一、11:00 到 14:00、17:00 到 23:30; 星期二、11:00 到 14:00、17:00 到 23:30; 星期三、11:00 到 14:00、17:00 到 23:30; 星期四、11:00 到 14:00、17:00 到 23:30; 星期五、11:00 到 14:00、17:00 到 23:30. 隱藏本週營業時間,https://www.facebook.com/%E5%A4%A7%E9%BE%8D%E8%A1%97%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B-493697720976933/
36,大龍街271號黃金地瓜QQ球,92,4.6,熟食店,, 103台北市大同區大龍街271號, 0981 339 738,星期六、14:30 到 22:00; 星期日、14:30 到 21:00; 星期一、15:00 到 21:30; 星期二、15:00 到 21:30; 星期三、休息; 星期四、15:00 到 21:30; 星期五、15:00 到 21:30. 隱藏本週營業時間,https://website--7895918497901241341167-deli.business.site/
37,金好呷好吃雞肉飯,684,4.0,台灣餐廳,$, 103台北市大同區酒泉街64號, 02 2597 7678,星期六、11:00 到 19:30; 星期日、11:00 到 17:00; 星期一、休息; 星期二、11:00 到 19:30; 星期三、11:00 到 19:30; 星期四、11:00 到 19:30; 星期五、11:00 到 19:30. 隱藏本週營業時間,
38,新口味鹽酥雞,74,3.7,炸物串與串炸餐廳,, 103台北市大同區大龍街312號號,,星期六、16:00 到 00:00; 星期日、16:00 到 00:00; 星期一、16:00 到 00:00; 星期二、16:00 到 00:00; 星期三、16:00 到 00:00; 星期四、00:00 到 12:00、16:00 到 00:00; 星期五、16:00 到 00:00. 隱藏本週營業時間,https://www.facebook.com/pages/%E5%A4%A7%E9%BE%8D%E8%A1%97%E5%A4%9C%E5%B8%82-%E6%96%B0%E5%8F%A3%E5%91%B3%E9%A6%99%E9%9B%9E%E6%8E%92%E9%B9%BD%E9%85%A5%E9%9B%9ENew-Taste-Taiwanese-Fried-Chicken/123815307696636
39,全龍健康素食,325,4.1,素食餐廳,$, 103台北市大同區大龍街286號, 02 2585 2060,星期六、10:30 到 14:00、17:00 到 20:00; 星期日、10:30 到 14:00、17:00 到 20:00; 星期一、10:30 到 14:00、17:00 到 20:00; 星期二、10:30 到 14:00、17:00 到 20:00; 星期三、10:30 到 14:00、17:00 到 20:00; 星期四、10:30 到 14:00、17:00 到 20:00; 星期五、10:30 到 14:00、17:00 到 20:00. 隱藏本週營業時間,
40,尚品香早餐店（大龍店）,15,3.9,餐廳,, 103台北市大同區大龍街43號, 02 2586 1969,星期六、05:30 到 13:30; 星期日、05:30 到 13:30; 星期一、05:30 到 13:00; 星期二、05:30 到 13:00; 星期三、05:30 到 13:00; 星期四、05:30 到 13:00; 星期五、05:30 到 13:00. 隱藏本週營業時間,
41,小里子海鮮,"1,041",4.0,海鮮餐廳,$$, 103台北市大同區哈密街93號, 02 2597 6619,星期六、12:00 到 14:30、17:00 到 21:30; 星期日、12:00 到 14:30、17:00 到 21:30; 星期一、休息; 星期二、12:00 到 14:30、18:00 到 21:30; 星期三、12:00 到 14:30、18:00 到 21:30; 星期四、12:00 到 14:30、18:00 到 21:30; 星期五、12:00 到 14:30、18:00 到 21:30. 隱藏本週營業時間,
42,雲祥麵食,380,4.1,熟食店,$, 103台北市大同區大龍街85巷2號, 02 2591 8267,星期六、09:00 到 00:30; 星期日、09:00 到 00:30; 星期一、09:00 到 00:30; 星期二、09:00 到 00:30; 星期三、09:00 到 00:30; 星期四、09:00 到 00:30; 星期五、09:00 到 00:30. 隱藏本週營業時間,
43,京品廣東粥,11,3.7,粥餐廳,, 103台北市大同區大龍街286號, 0916 855 211,星期六、20:00 到 23:00; 星期日、20:00 到 23:00; 星期一、20:00 到 23:00; 星期二、20:00 到 23:00; 星期三、20:00 到 23:00; 星期四、20:00 到 23:00; 星期五、20:00 到 23:00. 隱藏本週營業時間,
44,潮味決‧湯滷專門店 台北大龍分社,150,4.0,中餐館,$, 10370台北市大同區酒泉街78號, 02 2595 9915,星期六、11:30 到 21:30; 星期日、11:30 到 21:00; 星期一、11:30 到 21:00; 星期二、11:30 到 21:00; 星期三、11:30 到 21:00; 星期四、11:30 到 21:00; 星期五、11:30 到 21:30. 隱藏本週營業時間,https://www.ciaowin.com/
